Frame	Time	Elec	VdW	Nonbond
137	27.4	-25.685	-34.8354	-60.5204
138	27.6	-32.1655	-40.7915	-72.957
139	27.8	-56.1917	-43.0887	-99.2804
140	28	-20.9203	-40.6581	-61.5784
141	28.2	-24.6381	-40.3578	-64.9959
142	28.4	-0.7567	-40.6853	-41.442
143	28.6	2.0986	-34.6689	-32.5703
144	28.8	-15.1517	-39.0942	-54.2459
145	29	3.7342	-37.1731	-33.4389
146	29.2	-39.2449	-32.0724	-71.3173
147	29.4	-27.2075	-33.5084	-60.7159
148	29.6	-21.9816	-37.9043	-59.8859
149	29.8	-18.2533	-34.4756	-52.7289
150	30	-34.0002	-33.8567	-67.8569
151	30.2	-50.7679	-35.5661	-86.334
152	30.4	-40.9647	-40.2359	-81.2006
153	30.6	-41.1984	-38.2511	-79.4495
154	30.8	-22.9382	-40.5863	-63.5245
155	31	-29.9381	-48.0823	-78.0204
156	31.2	-44.1645	-33.9865	-78.151
157	31.4	-32.957	-36.2802	-69.2372
158	31.6	-12.0218	-30.4732	-42.495
159	31.8	-51.752	-42.3537	-94.1057
160	32	-54.6989	-39.875	-94.5739
161	32.2	-40.4393	-34.6737	-75.113
162	32.4	-26.3204	-33.6559	-59.9763
163	32.6	-33.8805	-30.3521	-64.2326
164	32.8	-52.7289	-44.9312	-97.6601
165	33	-52.4569	-34.092	-86.5489
166	33.2	-41.6691	-34.2025	-75.8716
167	33.4	-35.2547	-34.4387	-69.6934
168	33.6	-39.5753	-35.4918	-75.0671
169	33.8	-35.4677	-32.1747	-67.6424
170	34	-36.9042	-37.0271	-73.9313
171	34.2	-27.723	-43.9209	-71.6439
172	34.4	-14.6668	-38.045	-52.7118
173	34.6	-28.2069	-43.45	-71.6569
174	34.8	-32.5384	-38.4257	-70.9641
175	35	-29.9565	-35.2355	-65.192
176	35.2	-26.4119	-33.2216	-59.6335
177	35.4	-27.7822	-38.592	-66.3742
178	35.6	-5.1372	-35.0436	-40.1808
179	35.8	-14.4544	-33.7077	-48.1621
180	36	-33.5502	-31.5357	-65.0859
181	36.2	-37.1631	-37.5169	-74.68
182	36.4	-24.459	-38.928	-63.387
183	36.6	-39.2048	-42.9275	-82.1323
184	36.8	-43.1407	-36.9848	-80.1255
185	37	-31.4084	-34.3823	-65.7907
186	37.2	-34.4914	-38.2243	-72.7157
187	37.4	-37.0282	-36.1087	-73.1369
188	37.6	-47.0182	-33.1605	-80.1787
189	37.8	-30.8194	-36.2213	-67.0407
190	38	-25.6892	-43.3837	-69.0729
191	38.2	-55.5696	-29.8775	-85.4471
192	38.4	-36.21	-38.5559	-74.7659
193	38.6	-36.6606	-31.9759	-68.6365
194	38.8	-52.9767	-40.9929	-93.9696
195	39	-36.5938	-45.3366	-81.9304
196	39.2	-59.2552	-36.6793	-95.9345
197	39.4	-44.8822	-37.6418	-82.524
198	39.6	-44.7188	-40.758	-85.4768
199	39.8	-53.9878	-48.9919	-102.98
200	40	-44.8517	-49.8525	-94.7042
201	40.2	-49.9083	-43.0311	-92.9394
202	40.4	-66.6796	-47.061	-113.741
203	40.6	-81.0053	-57.6974	-138.703
204	40.8	-59.0055	-59.9076	-118.913
205	41	-53.5954	-57.1344	-110.73
206	41.2	-71.7266	-62.0944	-133.821
207	41.4	-65.3048	-56.5865	-121.891
208	41.6	-86.129	-62.676	-148.805
209	41.8	-53.2678	-58.9612	-112.229
210	42	-68.4542	-50.0489	-118.503
211	42.2	-76.1822	-58.6681	-134.85
212	42.4	-63.1126	-53.1181	-116.231
213	42.6	-58.824	-50.6954	-109.519
214	42.8	-40.9863	-39.7465	-80.7328
215	43	-56.8564	-40.6717	-97.5281
216	43.2	-22.6495	-38.9274	-61.5769
217	43.4	-38.552	-43.4943	-82.0463
218	43.6	-13.8134	-38.5327	-52.3461
219	43.8	-10.9132	-43.5525	-54.4657
220	44	-43.1499	-48.7279	-91.8778
221	44.2	-17.833	-38.7994	-56.6324
222	44.4	-43.8851	-35.304	-79.1891
223	44.6	-19.1194	-44.9093	-64.0287
224	44.8	-35.1664	-36.9347	-72.1011
225	45	-24.1389	-27.9982	-52.1371
226	45.2	-26.5916	-38.333	-64.9246
227	45.4	-19.2175	-42.5597	-61.7772
228	45.6	-31.9629	-35.3819	-67.3448
229	45.8	-33.0519	-33.5335	-66.5854
230	46	-42.1207	-44.3219	-86.4426
231	46.2	-37.4462	-44.9597	-82.4059
232	46.4	-29.9018	-39.7261	-69.6279
233	46.6	-39.093	-45.5396	-84.6326
234	46.8	-50.8962	-47.0856	-97.9818
235	47	-61.1253	-51.944	-113.069
236	47.2	-70.4986	-46.0952	-116.594
237	47.4	-66.55	-42.6531	-109.203
238	47.6	-98.4994	-46.2224	-144.722
239	47.8	-58.3802	-48.9601	-107.34
240	48	-72.6428	-49.5256	-122.168
241	48.2	-90.9617	-46.4356	-137.397
242	48.4	-97.5116	-47.5049	-145.017
243	48.6	-90.7572	-43.6421	-134.399
244	48.8	-50.2985	-36.88	-87.1785
245	49	-61.0864	-41.5108	-102.597
246	49.2	-34.0072	-40.1939	-74.2011
247	49.4	-39.5658	-34.8479	-74.4137
248	49.6	-91.1246	-47.4507	-138.575
249	49.8	-40.686	-45.7993	-86.4853
250	50	-79.2621	-38.7724	-118.035
251	50.2	-58.2054	-35.9755	-94.1809
252	50.4	-72.1263	-40.3624	-112.489
253	50.6	-94.133	-44.1616	-138.295
254	50.8	-71.9186	-45.4826	-117.401
255	51	-73.2329	-47.8093	-121.042
256	51.2	-107.634	-48.8474	-156.481
257	51.4	-53.2226	-47.1953	-100.418
258	51.6	-73.7198	-45.5802	-119.3
259	51.8	-36.4483	-44.8549	-81.3032
260	52	-51.2033	-40.9955	-92.1988
261	52.2	-35.5143	-36.3343	-71.8486
262	52.4	-35.0935	-37.8339	-72.9274
263	52.6	-36.4829	-43.2709	-79.7538
264	52.8	-43.6211	-42.8833	-86.5044
265	53	-25.505	-42.2314	-67.7364
266	53.2	-19.8787	-43.0674	-62.9461
267	53.4	-17.6711	-42.9789	-60.65
268	53.6	-12.4868	-37.468	-49.9548
269	53.8	-23.4304	-39.6287	-63.0591
270	54	-41.1606	-30.3596	-71.5202
271	54.2	-40.5745	-36.0739	-76.6484
272	54.4	-40.203	-32.2982	-72.5012
273	54.6	-33.634	-33.5018	-67.1358
274	54.8	-29.8585	-37.9787	-67.8372
275	55	-15.1295	-39.6475	-54.777
276	55.2	-27.6958	-35.8846	-63.5804
277	55.4	-16.6265	-33.6587	-50.2852
278	55.6	-17.1811	-26.7474	-43.9285
279	55.8	-32.854	-35.0893	-67.9433
280	56	-34.5152	-39.5519	-74.0671
281	56.2	-10.2485	-36.4634	-46.7119
282	56.4	-29.4646	-40.9239	-70.3885
283	56.6	-39.6815	-38.1778	-77.8593
284	56.8	-42.2358	-42.8555	-85.0913
285	57	-25.2315	-44.7571	-69.9886
286	57.2	-36.1005	-53.2271	-89.3276
287	57.4	-41.2505	-47.5126	-88.7631
288	57.6	-31.2687	-36.7447	-68.0134
289	57.8	-27.5923	-48.7279	-76.3202
290	58	-35.1499	-48.4059	-83.5558
291	58.2	-26.8257	-41.8279	-68.6536
292	58.4	-37.7782	-40.1318	-77.91
293	58.6	-41.9764	-36.0676	-78.044
294	58.8	-29.6141	-34.7123	-64.3264
295	59	-27.7319	-40.201	-67.9329
296	59.2	-34.2638	-43.3726	-77.6364
297	59.4	-21.5689	-44.4818	-66.0507
298	59.6	-54.0908	-45.4542	-99.545
299	59.8	-50.4736	-58.0376	-108.511
300	60	-41.7838	-46.8319	-88.6157
301	60.2	-20.1736	-43.1471	-63.3207
302	60.4	-35.4396	-45.3445	-80.7841
303	60.6	-61.4585	-60.5202	-121.979
304	60.8	-45.0524	-46.3885	-91.4409
305	61	-12.4008	-37.7012	-50.102
306	61.2	-18.4388	-35.3937	-53.8325
307	61.4	-22.8668	-37.3205	-60.1873
308	61.6	-64.5588	-38.3894	-102.948
309	61.8	-44.1832	-39.3219	-83.5051
310	62	-38.2304	-37.5091	-75.7395
311	62.2	-16.1692	-32.4908	-48.66
312	62.4	-26.7991	-31.0448	-57.8439
313	62.6	-27.2544	-39.0675	-66.3219
314	62.8	-34.3804	-39.7187	-74.0991
315	63	-34.3475	-37.6602	-72.0077
316	63.2	-26.2537	-37.2405	-63.4942
317	63.4	-34.7032	-35.8122	-70.5154
318	63.6	-27.1882	-33.0345	-60.2227
319	63.8	-27.7359	-32.9781	-60.714
320	64	-34.8847	-40.8672	-75.7519
321	64.2	-37.0979	-42.3524	-79.4503
322	64.4	-17.892	-43.7529	-61.6449
323	64.6	-21.2635	-41.0121	-62.2756
324	64.8	-31.1622	-32.8605	-64.0227
325	65	-13.7121	-42.0668	-55.7789
326	65.2	-45.8026	-39.294	-85.0966
327	65.4	-10.293	-37.1342	-47.4272
328	65.6	-38.3641	-38.3575	-76.7216
329	65.8	-45.248	-44.6503	-89.8983
330	66	-54.667	-42.6874	-97.3544
331	66.2	-44.6609	-44.424	-89.0849
332	66.4	-47.2153	-45.3631	-92.5784
333	66.6	-45.4807	-34.6233	-80.104
334	66.8	-38.8338	-44.129	-82.9628
335	67	-39.2671	-45.7405	-85.0076
336	67.2	-35.6644	-38.9751	-74.6395
337	67.4	-39.9571	-37.4406	-77.3977
338	67.6	-45.3625	-43.8988	-89.2613
339	67.8	-50.3209	-41.5733	-91.8942
340	68	-50.2864	-47.6491	-97.9355
341	68.2	-47.2947	-41.3274	-88.6221
342	68.4	-44.1316	-37.6459	-81.7775
343	68.6	-25.1024	-39.1133	-64.2157
344	68.8	-33.0776	-36.2013	-69.2789
345	69	-31.1505	-44.8133	-75.9638
346	69.2	-41.1902	-46.4505	-87.6407
347	69.4	-55.8095	-41.1649	-96.9744
348	69.6	-53.9478	-51.7976	-105.745
349	69.8	-64.4873	-46.2597	-110.747
350	70	-33.8182	-46.8771	-80.6953
351	70.2	-43.4281	-53.0534	-96.4815
352	70.4	-76.3955	-47.3831	-123.779
353	70.6	-74.8513	-63.1266	-137.978
354	70.8	-86.8118	-53.2302	-140.042
355	71	-78.9494	-55.9978	-134.947
356	71.2	-52.491	-51.5735	-104.065
357	71.4	-55.755	-41.1198	-96.8748
358	71.6	-50.565	-43.6297	-94.1947
359	71.8	-53.4733	-47.1555	-100.629
360	72	-41.2599	-44.114	-85.3739
361	72.2	-40.7945	-52.8778	-93.6723
362	72.4	-61.2256	-42.2106	-103.436
363	72.6	-70.5569	-43.3837	-113.941
364	72.8	-48.1644	-37.4833	-85.6477
365	73	-45.8866	-34.1764	-80.063
366	73.2	-56.1631	-32.0884	-88.2515
367	73.4	-51.6502	-38.5225	-90.1727
368	73.6	-69.1053	-48.0628	-117.168
369	73.8	-78.1055	-43.0122	-121.118
370	74	-56.7364	-49.0918	-105.828
371	74.2	-41.2374	-44.328	-85.5654
372	74.4	-44.4614	-31.9153	-76.3767
373	74.6	-39.3607	-32.8503	-72.211
374	74.8	-47.7088	-36.6572	-84.366
375	75	-31.5933	-32.8856	-64.4789
376	75.2	-39.3941	-35.3939	-74.788
377	75.4	-42.4387	-31.8423	-74.281
378	75.6	-39.4199	-34.1673	-73.5872
379	75.8	-28.8714	-37.1359	-66.0073
380	76	-13.4011	-33.8087	-47.2098
381	76.2	-22.2922	-32.8746	-55.1668
382	76.4	-33.2531	-37.0682	-70.3213
383	76.6	-50.5712	-38.9513	-89.5225
384	76.8	-47.2116	-33.3979	-80.6095
385	77	-20.4531	-34.6829	-55.136
386	77.2	-22.2801	-26.4174	-48.6975
387	77.4	-33.0496	-31.2358	-64.2854
388	77.6	-24.6212	-37.2361	-61.8573
389	77.8	-18.7333	-38.2211	-56.9544
390	78	-16.4139	-33.2591	-49.673
391	78.2	0.5569	-37.0532	-36.4963
392	78.4	-24.192	-29.8305	-54.0225
393	78.6	-37.8519	-40.1009	-77.9528
394	78.8	-55.9783	-39.2165	-95.1948
395	79	-29.652	-43.7131	-73.3651
396	79.2	-38.0104	-35.9982	-74.0086
397	79.4	-24.2506	-29.0543	-53.3049
398	79.6	-44.8202	-35.7427	-80.5629
399	79.8	-43.2993	-32.1505	-75.4498
400	80	-41.4511	-37.8099	-79.261
401	80.2	-63.1679	-44.8174	-107.985
402	80.4	-38.6001	-38.4787	-77.0788
403	80.6	-32.3841	-36.4294	-68.8135
404	80.8	-20.9529	-40.1032	-61.0561
405	81	-24.8405	-31.0316	-55.8721
406	81.2	-28.1509	-31.5357	-59.6866
407	81.4	1.6178	-36.1483	-34.5305
408	81.6	-23.6988	-39.0404	-62.7392
409	81.8	-12.7211	-45.6505	-58.3716
410	82	-15.0324	-50.3971	-65.4295
411	82.2	-5.3486	-44.7572	-50.1058
412	82.4	-29.5476	-45.1408	-74.6884
413	82.6	-56.7578	-44.1605	-100.918
