Frame	Time	Elec	VdW	Nonbond
154	30.8	-539.089	-211.605	-750.695
155	31	-508.574	-204.301	-712.875
156	31.2	-551.093	-201.072	-752.165
157	31.4	-466.333	-215.173	-681.506
158	31.6	-439.866	-212.601	-652.467
159	31.8	-524.323	-209.951	-734.274
160	32	-483.312	-210.284	-693.595
161	32.2	-530.059	-211.492	-741.551
162	32.4	-402.936	-203.125	-606.061
163	32.6	-419.45	-203.492	-622.942
164	32.8	-478.113	-227.039	-705.151
165	33	-474.124	-192.604	-666.727
166	33.2	-564.288	-240.135	-804.422
167	33.4	-463.289	-219.801	-683.089
168	33.6	-437.735	-209.375	-647.11
169	33.8	-472.336	-225.352	-697.688
170	34	-475.506	-227.767	-703.273
171	34.2	-397.589	-214.099	-611.688
172	34.4	-417.064	-204.454	-621.519
173	34.6	-363.55	-204.131	-567.68
174	34.8	-451.617	-204.885	-656.502
175	35	-384.988	-210.84	-595.828
176	35.2	-571.111	-204.54	-775.651
177	35.4	-526.582	-197.867	-724.449
178	35.6	-512.517	-208.72	-721.237
179	35.8	-516.29	-206.258	-722.548
180	36	-507.812	-202.626	-710.438
181	36.2	-564.226	-184.653	-748.88
182	36.4	-498.635	-205.303	-703.938
183	36.6	-484.022	-197.596	-681.618
184	36.8	-473.293	-196.621	-669.914
185	37	-462.627	-213.833	-676.46
186	37.2	-513.975	-205.148	-719.123
187	37.4	-434.681	-202.568	-637.25
188	37.6	-466.504	-204.646	-671.149
189	37.8	-522.224	-189.607	-711.832
190	38	-384.933	-206.027	-590.959
191	38.2	-508.748	-206.127	-714.875
192	38.4	-487.428	-207.499	-694.927
193	38.6	-409.519	-202.605	-612.125
194	38.8	-464.511	-197.765	-662.276
195	39	-391.951	-189.337	-581.288
196	39.2	-389.049	-202.277	-591.326
197	39.4	-441.471	-187.459	-628.93
198	39.6	-401.242	-208.118	-609.359
199	39.8	-430.178	-207.777	-637.955
200	40	-400.623	-196.843	-597.466
201	40.2	-355.596	-188.782	-544.378
202	40.4	-371.601	-196.436	-568.037
203	40.6	-437.542	-203.028	-640.57
204	40.8	-380.236	-209.716	-589.951
205	41	-366.691	-201.229	-567.92
206	41.2	-388.498	-214.504	-603.002
207	41.4	-405.009	-182.206	-587.214
208	41.6	-378.56	-195.515	-574.075
209	41.8	-379.01	-194.097	-573.108
210	42	-400.206	-203.451	-603.657
211	42.2	-408.644	-187.125	-595.768
212	42.4	-389.726	-209.44	-599.165
213	42.6	-312.273	-186.146	-498.42
214	42.8	-294.713	-186.78	-481.493
215	43	-357.751	-192.908	-550.658
216	43.2	-341.225	-204.933	-546.159
217	43.4	-328.549	-200.382	-528.931
218	43.6	-289.844	-203.212	-493.057
219	43.8	-383.114	-202.104	-585.218
220	44	-365.77	-203.651	-569.421
221	44.2	-299.024	-206.849	-505.874
222	44.4	-296.87	-203.342	-500.212
223	44.6	-375.988	-190.126	-566.114
224	44.8	-328.892	-209.52	-538.412
225	45	-352.673	-180.283	-532.956
226	45.2	-377.428	-183.791	-561.219
227	45.4	-319.306	-198.593	-517.899
228	45.6	-372.504	-200.863	-573.366
229	45.8	-303.186	-192.279	-495.465
230	46	-246.818	-198.972	-445.79
231	46.2	-292.531	-191.533	-484.064
232	46.4	-363.11	-194.846	-557.956
233	46.6	-304.043	-206.907	-510.95
234	46.8	-397.519	-204.414	-601.933
235	47	-315.481	-216.673	-532.154
236	47.2	-399.431	-216.162	-615.593
237	47.4	-309.697	-205.058	-514.755
238	47.6	-433.498	-204.983	-638.481
239	47.8	-338.234	-203.38	-541.614
240	48	-343.895	-212.082	-555.977
241	48.2	-355.309	-212.353	-567.662
242	48.4	-404.27	-201.245	-605.515
243	48.6	-398.697	-205.274	-603.971
244	48.8	-357.666	-211.747	-569.413
245	49	-491.73	-207.32	-699.05
246	49.2	-443.027	-213.975	-657.003
247	49.4	-412.055	-187.982	-600.037
248	49.6	-477.446	-206.427	-683.873
249	49.8	-508.248	-196.861	-705.109
250	50	-429.972	-200.262	-630.234
251	50.2	-353.396	-206.884	-560.28
252	50.4	-418.423	-195.161	-613.584
253	50.6	-402.946	-186.692	-589.638
254	50.8	-414.528	-204.914	-619.442
255	51	-509.969	-200.933	-710.901
256	51.2	-433.092	-219.62	-652.712
257	51.4	-386.841	-199.424	-586.265
258	51.6	-376.852	-192.501	-569.353
259	51.8	-361.176	-194.628	-555.803
260	52	-379.315	-186.398	-565.713
261	52.2	-414.73	-196.586	-611.315
262	52.4	-389.285	-198.641	-587.926
263	52.6	-387.921	-195.752	-583.673
264	52.8	-402.817	-195.293	-598.11
265	53	-390.447	-176.382	-566.829
266	53.2	-256.51	-206.777	-463.287
267	53.4	-236.941	-200.485	-437.426
268	53.6	-290.225	-196.01	-486.235
269	53.8	-340.468	-205.142	-545.61
270	54	-345.052	-210.112	-555.164
271	54.2	-421.844	-190.416	-612.26
272	54.4	-369.822	-220.337	-590.16
273	54.6	-376.626	-206.426	-583.051
274	54.8	-393.99	-220.771	-614.761
275	55	-421.584	-213.239	-634.823
276	55.2	-390.722	-212.831	-603.553
277	55.4	-465.882	-206.362	-672.244
278	55.6	-458.439	-209.639	-668.078
279	55.8	-504.892	-209.479	-714.371
280	56	-449.112	-225.621	-674.733
281	56.2	-338.438	-218.589	-557.026
282	56.4	-421.709	-206.334	-628.043
283	56.6	-446.53	-205.167	-651.698
284	56.8	-407.295	-207.265	-614.56
285	57	-408.145	-199.495	-607.64
286	57.2	-470.659	-215.194	-685.853
287	57.4	-421.405	-217.416	-638.82
288	57.6	-442	-209.461	-651.461
289	57.8	-441.569	-210.138	-651.707
290	58	-397.548	-238.028	-635.577
291	58.2	-379.245	-230.879	-610.123
292	58.4	-308.716	-215.324	-524.04
293	58.6	-391.373	-210.798	-602.171
294	58.8	-446.517	-223.38	-669.898
295	59	-400.138	-215.145	-615.283
296	59.2	-418.557	-234.903	-653.46
297	59.4	-512.816	-233.794	-746.611
298	59.6	-419.325	-239.924	-659.248
299	59.8	-480.915	-229.209	-710.124
300	60	-496.918	-212.968	-709.886
301	60.2	-447.38	-221.683	-669.063
302	60.4	-558.683	-206.684	-765.367
303	60.6	-398.305	-216.871	-615.176
304	60.8	-404.113	-219.255	-623.368
305	61	-505.196	-219.435	-724.631
306	61.2	-485.829	-220.733	-706.562
307	61.4	-490.501	-215.774	-706.275
308	61.6	-426.62	-233.653	-660.273
309	61.8	-406.988	-214.639	-621.627
310	62	-473.102	-221.534	-694.636
311	62.2	-440.341	-218.786	-659.127
312	62.4	-471.195	-198.862	-670.057
313	62.6	-508.641	-195.249	-703.89
314	62.8	-428.188	-233.617	-661.806
315	63	-511.951	-212.779	-724.73
316	63.2	-407.681	-201.921	-609.602
317	63.4	-438.091	-218.554	-656.644
318	63.6	-449.933	-203.319	-653.252
319	63.8	-485.831	-217.592	-703.423
320	64	-510.294	-211.394	-721.689
321	64.2	-475.84	-206.414	-682.254
322	64.4	-478.198	-203.71	-681.908
323	64.6	-493.657	-207.122	-700.779
324	64.8	-394.269	-209.242	-603.51
325	65	-470.688	-207.301	-677.989
326	65.2	-503.87	-211.703	-715.574
327	65.4	-498.239	-179.975	-678.214
328	65.6	-346.603	-204.973	-551.575
329	65.8	-386.578	-203.876	-590.454
330	66	-289.806	-211.804	-501.61
331	66.2	-437.819	-209.562	-647.382
332	66.4	-459.875	-217.164	-677.038
333	66.6	-451.892	-217.345	-669.237
334	66.8	-394.185	-216.384	-610.569
335	67	-451.789	-216.65	-668.439
336	67.2	-472.421	-196.111	-668.532
337	67.4	-338.402	-217.032	-555.434
338	67.6	-490.005	-223.902	-713.907
339	67.8	-492.214	-221.839	-714.053
340	68	-437.654	-211.444	-649.098
341	68.2	-451.835	-220.167	-672.002
342	68.4	-516.939	-234.057	-750.996
343	68.6	-550.412	-223.714	-774.125
344	68.8	-594.688	-226.446	-821.134
345	69	-454.048	-246.188	-700.236
