Frame	Time	Elec	VdW	Nonbond
151	90.2	-459.194	-135.992	-595.185
152	90.4	-369.226	-121.412	-490.638
153	90.6	-390.783	-122.51	-513.293
154	90.8	-398.074	-121.914	-519.987
155	91	-400.918	-109.403	-510.321
156	91.2	-362.281	-117.406	-479.688
157	91.4	-408.536	-112.698	-521.234
158	91.6	-475.123	-120.949	-596.071
159	91.8	-491.465	-120.411	-611.876
160	92	-443.665	-131.24	-574.905
161	92.2	-402.214	-107.798	-510.012
162	92.4	-444.997	-111.321	-556.318
163	92.6	-515.934	-106.108	-622.042
164	92.8	-398.703	-103.247	-501.951
165	93	-348.676	-108.189	-456.866
166	93.2	-350.55	-110.701	-461.251
167	93.4	-379.473	-127.897	-507.37
168	93.6	-439.949	-120.372	-560.321
169	93.8	-413.475	-131.421	-544.896
170	94	-444.844	-125.326	-570.171
171	94.2	-443.658	-110.069	-553.727
172	94.4	-321.445	-122.419	-443.864
173	94.6	-374.003	-121.856	-495.859
174	94.8	-364.253	-117.242	-481.495
175	95	-256.434	-106.434	-362.868
176	95.2	-286.057	-113.547	-399.605
177	95.4	-342.279	-103.573	-445.852
178	95.6	-338.404	-104.5	-442.904
179	95.8	-321.065	-103.551	-424.615
180	96	-323.659	-96.2714	-419.931
181	96.2	-298.672	-94.6676	-393.34
182	96.4	-329.049	-100.422	-429.471
183	96.6	-280.381	-100.603	-380.984
184	96.8	-289.017	-110.47	-399.488
185	97	-268.419	-97.4245	-365.844
186	97.2	-250.737	-110.863	-361.6
187	97.4	-294.897	-99.6249	-394.521
188	97.6	-278.588	-102.482	-381.07
189	97.8	-331.158	-87.641	-418.799
190	98	-316.231	-95.4959	-411.726
191	98.2	-399.144	-98.8505	-497.994
192	98.4	-322.926	-100.213	-423.14
193	98.6	-306.202	-94.3706	-400.573
194	98.8	-341.944	-102.801	-444.744
195	99	-303.313	-106.802	-410.115
196	99.2	-304.325	-93.9429	-398.268
197	99.4	-324.606	-100.983	-425.589
198	99.6	-325.1	-101.988	-427.088
199	99.8	-252.783	-107.986	-360.769
200	100	-266.444	-105.803	-372.247
201	100.2	-332.136	-114.76	-446.896
202	100.4	-331.139	-107.341	-438.48
203	100.6	-269.93	-97.3342	-367.264
204	100.8	-351.614	-88.3181	-439.932
205	101	-280.654	-92.8997	-373.554
206	101.2	-268.126	-101.48	-369.606
207	101.4	-297.308	-104.555	-401.862
208	101.6	-319.944	-110.011	-429.955
209	101.8	-351.183	-102.819	-454.002
210	102	-244.067	-103.223	-347.289
211	102.2	-275.987	-110.782	-386.769
212	102.4	-240.213	-102.174	-342.386
213	102.6	-258.071	-112.985	-371.056
214	102.8	-336.701	-115.224	-451.925
215	103	-339.47	-120.74	-460.21
216	103.2	-373.391	-123.839	-497.23
217	103.4	-380.852	-115.258	-496.11
218	103.6	-381.452	-107.912	-489.364
219	103.8	-338.399	-122.299	-460.698
220	104	-365.409	-124.04	-489.449
221	104.2	-337.374	-110.675	-448.049
222	104.4	-339.483	-120.739	-460.221
223	104.6	-408.141	-121.231	-529.372
