Frame         Time          Elec          VdW           Nonbond       Total         
0             0             +2.2492       -0.0642       +2.185        +2.185        
1             1             +0.6627       -0.0492       +0.6135       +0.6135       
2             2             +0.201        -0            +0.201        +0.201        
3             3             +0.1482       -0            +0.1482       +0.1482       
4             4             -0.0017       -0            -0.0017       -0.0017       
5             5             +0            +0            +0            +0            
6             6             +0            +0            +0            +0            
7             7             +0            +0            +0            +0            
8             8             +0            +0            +0            +0            
9             9             -0.0039       -0.0001       -0.004        -0.004        
10            10            +0            +0            +0            +0            
11            11            +0            +0            +0            +0            
12            12            +0            +0            +0            +0            
13            13            +0            +0            +0            +0            
14            14            +0            +0            +0            +0            
15            15            +0            +0            +0            +0            
16            16            +0            +0            +0            +0            
17            17            +0            +0            +0            +0            
18            18            +0            +0            +0            +0            
19            19            +0            +0            +0            +0            
20            20            +0.0572       -0            +0.0572       +0.0572       
21            21            +1.3413       -0.2387       +1.1026       +1.1026       
22            22            +0.5924       -0.0036       +0.5888       +0.5888       
23            23            +0.4243       -0.0064       +0.4179       +0.4179       
24            24            +0.8525       -0.0136       +0.8389       +0.8389       
25            25            +0.0169       -0            +0.0169       +0.0169       
26            26            +0            -0            +0            +0            
27            27            +0.1682       -0.0001       +0.1681       +0.1681       
28            28            +2.181        -0.2602       +1.9208       +1.9208       
29            29            +1.6047       -0.1378       +1.4669       +1.4669       
30            30            +1.0078       -0.0083       +0.9995       +0.9995       
31            31            +1.3662       -0.4736       +0.8926       +0.8926       
32            32            -0.9944       -0.1776       -1.172        -1.172        
33            33            +0.8519       -0.0183       +0.8336       +0.8336       
34            34            +3.8695       -0.1392       +3.7303       +3.7303       
35            35            +0.0915       -0.0002       +0.0913       +0.0913       
36            36            +0.1709       -0.0004       +0.1705       +0.1705       
37            37            +0            +0            +0            +0            
38            38            +0.0682       -0            +0.0682       +0.0682       
39            39            +0            +0            +0            +0            
40            40            +0            +0            +0            +0            
41            41            +1.2741       -0.0396       +1.2345       +1.2345       
42            42            +0.5687       -0.0066       +0.5621       +0.5621       
43            43            -0.2357       -0.0261       -0.2618       -0.2618       
44            44            +0.1611       -0.0038       +0.1573       +0.1573       
45            45            +0.1469       -0.014        +0.1329       +0.1329       
46            46            +0.1803       -0.0001       +0.1802       +0.1802       
47            47            +1.078        -0.1034       +0.9746       +0.9746       
48            48            +0.8112       -0.0785       +0.7327       +0.7327       
49            49            +0.3082       -0.0064       +0.3018       +0.3018       
50            50            +1.3482       -0.0213       +1.3269       +1.3269       
51            51            +0.011        -0            +0.011        +0.011        
52            52            +0            +0            +0            +0            
53            53            +0            +0            +0            +0            
54            54            +0            +0            +0            +0            
55            55            +0            +0            +0            +0            
56            56            +0            +0            +0            +0            
57            57            +0            +0            +0            +0            
58            58            +0            +0            +0            +0            
59            59            +0            +0            +0            +0            
60            60            +0            +0            +0            +0            
61            61            +0            +0            +0            +0            
62            62            -0.0324       -0            -0.0324       -0.0324       
63            63            +0            +0            +0            +0            
64            64            +0            +0            +0            +0            
65            65            +0            +0            +0            +0            
66            66            +0            +0            +0            +0            
67            67            +0            +0            +0            +0            
68            68            +0            +0            +0            +0            
69            69            +0            +0            +0            +0            
70            70            +0            +0            +0            +0            
71            71            +0            +0            +0            +0            
72            72            +0            +0            +0            +0            
73            73            +0            +0            +0            +0            
