Frame         Time          Elec          VdW           Nonbond       Total         
0             0             +0            +0            +0            +0            
1             1             +0            +0            +0            +0            
2             2             +0            +0            +0            +0            
3             3             +0            +0            +0            +0            
4             4             +0.0024       -0            +0.0024       +0.0024       
5             5             +0            +0            +0            +0            
6             6             +0            +0            +0            +0            
7             7             +0            +0            +0            +0            
8             8             +0            +0            +0            +0            
9             9             +0            +0            +0            +0            
10            10            +0            +0            +0            +0            
11            11            +0            +0            +0            +0            
12            12            +0            +0            +0            +0            
13            13            +0            +0            +0            +0            
14            14            +0.0718       -0.0001       +0.0717       +0.0717       
15            15            +0            +0            +0            +0            
16            16            +0            +0            +0            +0            
17            17            +0.0267       -0            +0.0267       +0.0267       
18            18            +0.0161       -0            +0.0161       +0.0161       
19            19            +0.3869       -0.0016       +0.3853       +0.3853       
20            20            +0.0377       -0            +0.0377       +0.0377       
21            21            +0.1441       -0.0002       +0.1439       +0.1439       
22            22            +0            +0            +0            +0            
23            23            +0            +0            +0            +0            
24            24            +0            +0            +0            +0            
25            25            +0.911        -0.0041       +0.9069       +0.9069       
26            26            +0.0208       -0.0111       +0.0097       +0.0097       
27            27            +0.528        -0.0615       +0.4665       +0.4665       
28            28            -0.9312       -0.0894       -1.0206       -1.0206       
29            29            +3.2818       -0.1725       +3.1093       +3.1093       
30            30            +0.2536       -0.2966       -0.043        -0.043        
31            31            -0.9962       -0.2475       -1.2437       -1.2437       
32            32            -1.2847       -0.4018       -1.6865       -1.6865       
33            33            -2.589        -0.1098       -2.6988       -2.6988       
34            34            -1.5584       -0.3338       -1.8922       -1.8922       
35            35            +2.4864       -0.9283       +1.5581       +1.5581       
36            36            +2.1946       -0.3719       +1.8227       +1.8227       
37            37            -3.0634       -0.0427       -3.1061       -3.1061       
38            38            -2.2844       -0.3163       -2.6007       -2.6007       
39            39            -3.6186       -0.5623       -4.1809       -4.1809       
40            40            +1.5552       -0.1143       +1.4409       +1.4409       
41            41            +2.9654       -0.1756       +2.7898       +2.7898       
42            42            +0.3087       -0.0137       +0.295        +0.295        
43            43            -0.0378       -0            -0.0378       -0.0378       
44            44            -0.1072       -0.0001       -0.1073       -0.1073       
45            45            +0.0272       -0            +0.0272       +0.0272       
46            46            +1.2221       -0.0371       +1.185        +1.185        
47            47            +0.0009       -0            +0.0009       +0.0009       
48            48            +0            +0            +0            +0            
49            49            +0.0021       -0            +0.0021       +0.0021       
50            50            +0.021        -0            +0.021        +0.021        
51            51            +0            +0            +0            +0            
52            52            +0.3458       -0.0036       +0.3422       +0.3422       
53            53            +0            +0            +0            +0            
54            54            +0            +0            +0            +0            
55            55            +0            +0            +0            +0            
56            56            +0            +0            +0            +0            
57            57            +0            +0            +0            +0            
58            58            +0            +0            +0            +0            
59            59            +0            +0            +0            +0            
60            60            +0.0736       -0            +0.0736       +0.0736       
61            61            +0.3968       -0.001        +0.3958       +0.3958       
62            62            +0.2205       -0.0001       +0.2204       +0.2204       
63            63            -0.1946       -0.0214       -0.216        -0.216        
64            64            -0.4716       -0.0733       -0.5449       -0.5449       
65            65            -1.6362       -0.3052       -1.9414       -1.9414       
66            66            -0.6477       -0.714        -1.3617       -1.3617       
67            67            -1.1134       -2.3741       -3.4875       -3.4875       
68            68            -3.9476       -2.8571       -6.8047       -6.8047       
69            69            -1.1602       -0.6751       -1.8353       -1.8353       
70            70            +0.5829       -4.0427       -3.4598       -3.4598       
71            71            -4.8052       -4.2499       -9.0551       -9.0551       
72            72            -0.0482       -1.3993       -1.4475       -1.4475       
73            73            -10.9022      -6.7154       -17.6176      -17.6176      
74            74            -2.6806       -4.421        -7.1016       -7.1016       
75            75            -9.6753       -4.9706       -14.6459      -14.6459      
76            76            -13.5421      -5.4049       -18.947       -18.947       
77            77            -19.6984      -4.0336       -23.732       -23.732       
78            78            -9.3606       -7.6324       -16.993       -16.993       
79            79            -10.6015      -5.9363       -16.5378      -16.5378      
80            80            -16.7942      -5.5141       -22.3083      -22.3083      
81            81            -15.5139      -6.9273       -22.4412      -22.4412      
82            82            -15.5344      -4.1164       -19.6508      -19.6508      
83            83            -5.9643       -3.7639       -9.7282       -9.7282       
84            84            +4.1813       -4.6706       -0.4893       -0.4893       
85            85            -2.7323       -6.1829       -8.9152       -8.9152       
86            86            +4.1788       -5.2393       -1.0605       -1.0605       
87            87            -1.0576       -0.9476       -2.0052       -2.0052       
88            88            -0.104        -0.7915       -0.8955       -0.8955       
89            89            +2.8058       -0.5371       +2.2687       +2.2687       
90            90            -0.0254       -1.7048       -1.7302       -1.7302       
91            91            +0.7983       -4.5011       -3.7028       -3.7028       
92            92            -4.5564       -4.8988       -9.4552       -9.4552       
93            93            -4.3263       -3.4389       -7.7652       -7.7652       
94            94            -7.4023       -2.7874       -10.1897      -10.1897      
95            95            +8.7882       -2.6266       +6.1616       +6.1616       
96            96            +2.8571       -3.707        -0.8499       -0.8499       
97            97            +2.8793       -0.2609       +2.6184       +2.6184       
98            98            +8.613        -0.8497       +7.7633       +7.7633       
99            99            +2.2373       -0.31         +1.9273       +1.9273       
100           100           +3.8344       -0.9715       +2.8629       +2.8629       
101           101           +2.9177       -0.4945       +2.4232       +2.4232       
102           102           +5.7006       -0.4721       +5.2285       +5.2285       
103           103           -1.1127       -0.0284       -1.1411       -1.1411       
104           104           +0.217        -0.0004       +0.2166       +0.2166       
105           105           +0.96         -0.0289       +0.9311       +0.9311       
106           106           +3.6972       -1.3379       +2.3593       +2.3593       
107           107           +1.2374       -1.2189       +0.0185       +0.0185       
108           108           -3.1455       -0.6946       -3.8401       -3.8401       
109           109           -0.6367       -1.3204       -1.9571       -1.9571       
110           110           -1.4286       -2.7885       -4.2171       -4.2171       
111           111           +2.4249       -0.2982       +2.1267       +2.1267       
112           112           +0.6201       -0.0037       +0.6164       +0.6164       
113           113           +0.0013       -0            +0.0013       +0.0013       
114           114           +0            +0            +0            +0            
115           115           +0.0501       -0            +0.0501       +0.0501       
116           116           +0.0522       -0            +0.0522       +0.0522       
117           117           +2.4972       -0.185        +2.3122       +2.3122       
118           118           +2.8738       -0.239        +2.6348       +2.6348       
119           119           +0.5667       -0.0011       +0.5656       +0.5656       
120           120           +1.2319       -0.0109       +1.221        +1.221        
121           121           +3.7033       -0.1365       +3.5668       +3.5668       
122           122           +0.5254       -0.0841       +0.4413       +0.4413       
123           123           +0.8482       -0.0042       +0.844        +0.844        
124           124           +0.4461       -0.0021       +0.444        +0.444        
125           125           -0.6804       -0.3883       -1.0687       -1.0687       
126           126           +1.6023       -0.0339       +1.5684       +1.5684       
127           127           +1.8648       -0.0767       +1.7881       +1.7881       
128           128           +2.1258       -0.6689       +1.4569       +1.4569       
129           129           +1.5218       -0.2317       +1.2901       +1.2901       
130           130           -1.4912       -0.97         -2.4612       -2.4612       
131           131           +0.3675       -0.4679       -0.1004       -0.1004       
132           132           +0.8208       -0.0489       +0.7719       +0.7719       
133           133           +0.2279       -0.0053       +0.2226       +0.2226       
134           134           +1.6081       -0.0218       +1.5863       +1.5863       
135           135           +0.5337       -0.0117       +0.522        +0.522        
136           136           +0.0049       -0            +0.0049       +0.0049       
137           137           -0.0872       -0.0046       -0.0918       -0.0918       
138           138           +0.2787       -2.2497       -1.971        -1.971        
139           139           +0.7508       -0.5934       +0.1574       +0.1574       
140           140           +2.1991       -0.2149       +1.9842       +1.9842       
141           141           +2.0432       -3.6725       -1.6293       -1.6293       
